Company,Date Posted,Job_Description,Location,Title
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (449 Georgetown #2) (16021403) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have exper ...","Washington, DC",Restaurant Team Member - Crew (449 - Georgetown #2)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (2483 Middletown DE) (16021392) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have expe ...","Middletown, DE",Restaurant Team Member - Crew (2483 - Middletown DE)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (1682 Cleveland Park DC) (16021387) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have  ...","Washington, DC",Restaurant Team Member - Crew (1682 - Cleveland Park  DC)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (2217 Potomac Yard) (16021258) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have exper ...","Alexandria, VA",Restaurant Team Member - Crew (2217 - Potomac Yard)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (429 Columbia 2) (16021288) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experien ...","Columbia, MD",Restaurant Team Member - Crew (429 - Columbia 2)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (517 Herndon) (16021355) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experience  ...","Herndon, VA",Restaurant Team Member - Crew (517 - Herndon)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (710 Beacon Mall) (16021295) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experie ...","Alexandria, VA",Restaurant Team Member - Crew (710 - Beacon Mall)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (2456 Shops at Belmont) (16021379) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have e ...","Ashburn, VA",Restaurant Team Member - Crew (2456 - Shops at Belmont)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (739 Waldorf) (16021470) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experience  ...","Waldorf, MD",Restaurant Team Member - Crew (739 - Waldorf)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (411 Silver Spring) (16021267) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have exper ...","Silver Spring, MD",Restaurant Team Member - Crew (411 - Silver Spring)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (1644 Easton MD) (16021305) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experien ...","Easton, MD",Restaurant Team Member - Crew (1644 - Easton MD)
Chipotle Mexican Grill,10/8/2016,"Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experience as a cashier, server, cook, prep cook, dishwasher, housekeeper, b ...","Germantown, MD",Restaurant Team Member - Crew (2781 - Germantown East)
Chipotle Mexican Grill,10/8/2016,"Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experience as a cashier, server, cook, prep cook, dishwasher, housekeeper, b ...","Arlington, VA",Restaurant Team Member - Crew (106 - Crystal City)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (1515 Westminster II) (16021386) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have exp ...","Westminster, MD",Restaurant Team Member - Crew (1515 - Westminster II)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (2225 Greenspring Tower) (16021260) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have  ...","Baltimore, MD",Restaurant Team Member - Crew (2225 - Greenspring Tower)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (1608 Four Corners) (16021352) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have exper ...","Silver Spring, MD",Restaurant Team Member - Crew (1608 - Four Corners)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (154 Tenleytown) (16021277) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experien ...","Washington, DC",Restaurant Team Member - Crew (154 - Tenleytown)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (781 Shoppes at Ryan Park) (16021301) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you hav ...","Ashburn, VA",Restaurant Team Member - Crew (781 - Shoppes at Ryan Park)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (2038 Woodmore Towne Centre) (16021366) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you h ...","Lanham, MD",Restaurant Team Member - Crew (2038 - Woodmore Towne Centre)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (683 Aspen Hill) (16021309) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experien ...","Aspen Hill, MD",Restaurant Team Member - Crew (683 - Aspen Hill)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (2646 Bailey's Crossroads) (16021287) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you hav ...","Falls Church, VA",Restaurant Team Member - Crew (2646 - Bailey's Crossroads)
Chipotle Mexican Grill,10/8/2016,"Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experience as a cashier, server, cook, prep cook, dishwasher, housekeeper, b ...","College Park, MD",Restaurant Team Member - Crew (105 - College Park)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (722 Arlington Boulevard) (16021276) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have ...","Falls Church, VA",Restaurant Team Member - Crew (722 - Arlington Boulevard)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (1969 Rhode Island Row) (16021451) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have e ...","Washington, DC",Restaurant Team Member - Crew (1969 - Rhode Island Row)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (2543 McPherson Square) (16021418) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have e ...","Washington, DC",Restaurant Team Member - Crew (2543 - McPherson Square)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (1463 Pikesville) (16021320) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experie ...","Pikesville, MD",Restaurant Team Member - Crew (1463 - Pikesville)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (1484 Glover Park DC) (16021354) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have exp ...","Washington, DC",Restaurant Team Member - Crew (1484 - Glover Park DC)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (840 Annapolis Mall) (16021417) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have expe ...","Annapolis, MD",Restaurant Team Member - Crew (840 - Annapolis Mall)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (2377 Howard University) (16021393) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have  ...","Washington, DC",Restaurant Team Member - Crew (2377 - Howard University)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (1477 Mount Airy) (16021401) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experie ...","Mount Airy, MD",Restaurant Team Member - Crew (1477 - Mount Airy)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (1418 Frederick) (16021265) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experien ...","Frederick, MD",Restaurant Team Member - Crew (1418 - Frederick)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (1325 York) (16021472) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experience as ...","York, PA",Restaurant Team Member - Crew (1325 - York)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (506 Vienna) (16021434) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experience a ...","Vienna, VA",Restaurant Team Member - Crew (506 - Vienna)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (983 Merrifield Town Ctr) (16021237) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have ...","Falls Church, VA",Restaurant Team Member - Crew (983 - Merrifield Town Ctr)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (1390 Columbia Heights DC) (16021400) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you hav ...","Washington, DC",Restaurant Team Member - Crew (1390 - Columbia Heights DC)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (2468 Watkins) (16021441) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experience ...","Upper Marlboro, MD",Restaurant Team Member - Crew (2468 - Watkins)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (285 Reston) (16021455) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experience a ...","Reston, VA",Restaurant Team Member - Crew (285 - Reston)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (1139 Vista Gardens) (16021461) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have expe ...","Bowie, MD",Restaurant Team Member - Crew (1139 - Vista Gardens)
Chipotle Mexican Grill,10/8/2016,"Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experience as a cashier, server, cook, prep cook, dishwasher, housekeeper, b ...","Hyattsville, MD",Restaurant Team Member - Crew (1578 - Hyattsville)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (930 Foxchase) (16021466) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experience ...","Alexandria, VA",Restaurant Team Member - Crew (930 - Foxchase)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (1270 Franklin Farm) (16021464) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have expe ...","Herndon, VA",Restaurant Team Member - Crew (1270 - Franklin Farm)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (1754 McLean) (16021424) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experience  ...","McLean, VA",Restaurant Team Member - Crew (1754 - McLean)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (1940 South York) (16021389) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experie ...","York, PA",Restaurant Team Member - Crew (1940 - South York)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (446 Bowie Town Center) (16021383) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have e ...","Bowie, MD",Restaurant Team Member - Crew (446 - Bowie Town Center)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (349 MCI) (16021480) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experience as a ...","Washington, DC",Restaurant Team Member - Crew (349 - MCI)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (535 Arundel Mills) (16021411) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have exper ...","Hanover, MD",Restaurant Team Member - Crew (535 - Arundel Mills)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (2565 Catholic) (16021314) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experienc ...","Washington, DC",Restaurant Team Member - Crew (2565 - Catholic)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (1234 Fair Lakes Center) (16021266) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have  ...","Fairfax, VA",Restaurant Team Member - Crew (1234 - Fair Lakes Center)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (2332 West Pratt Street) (16021384) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have  ...","Baltimore, MD",Restaurant Team Member - Crew (2332 - West Pratt Street)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (1449 Olney) (16021398) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experience a ...","Olney, MD",Restaurant Team Member - Crew (1449 - Olney)
Chipotle Mexican Grill,10/8/2016,"Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experience as a cashier, server, cook, prep cook, dishwasher, housekeeper, b ...","Rockville, MD",Restaurant Team Member - Crew (1147 - Wintergreen)
Chipotle Mexican Grill,10/8/2016,"Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experience as a cashier, server, cook, prep cook, dishwasher, housekeeper, b ...","Oxon Hill, MD",Restaurant Team Member - Crew (2593 - National Harbor)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (1861 Lee Heights Shops) (16021431) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have  ...","Arlington, VA",Restaurant Team Member - Crew (1861 - Lee Heights Shops)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (1801 South Lakes Village) (16021356) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you hav ...","Reston, VA",Restaurant Team Member - Crew (1801 - South Lakes Village)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (461 Kentlands) (16021475) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experienc ...","Gaithersburg, MD",Restaurant Team Member - Crew (461 - Kentlands)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (1284 Reston Town Center) (16021285) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have ...","Reston, VA",Restaurant Team Member - Crew (1284 - Reston Town Center)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (323 Ballston) (16021430) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experience ...","Arlington, VA",Restaurant Team Member - Crew (323 - Ballston)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (293 Falls Grove) (16021307) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have experie ...","Rockville, MD",Restaurant Team Member - Crew (293 - Falls Grove)
Chipotle Mexican Grill,10/8/2016,"Restaurant Team Member Crew (190 DuPont Circle) (16021482) Description Building the perfect burrito and having fun doing it is the first step to building your career at Chipotle. Sharpen your customer service and teamwork skills, learn to make great food and get ready to grow. Whether you have exper ...","Washington, DC",Restaurant Team Member - Crew (190 - DuPont Circle)
MedStar Georgetown University...,10/8/2016,"Responsible for a variety of cleaning tasks, which include maintaining clean and sanitary conditions in all Nutrition Services areas. May include dishwashing, pot washing, general sanitation, cleaning and use of kitchen equipment. May assist in the service and storage of food. These functions are pe ...","Washington, DC",Food Service Worker I
MedStar Georgetown University...,10/8/2016,"The incumbent in this position is responsible for preparation of foods for patients by utilizing production standards, portion control and standardized recipes. These functions are performed in accordance with all applicable laws and regulations and Georgetown University Hospital's philosophy, polic ...","Washington, DC",Cook
The Fairmont Hotel,10/8/2016,"Cook II Garde Manger (WDC00614)  Cook II Garde Manger The Cook II is responsible for assisting with the smooth and efficient operation of the Kitchen to the standard required by the Hotel. Hotel Overview If creating memories and being part of an exceptional guest experience appeals to you, perhaps y ...","Washington, DC",Cook II - Garde Manger
The Fairmont Hotel,10/7/2016,"Cook II Juniper Restaurant (Line Cook) (WDC00599)  Cook II The Cook II is responsible for assisting with the smooth and efficient operation of the Kitchen to the standard required by the Hotel. Hotel Overview If creating memories and being part of an exceptional guest experience appeals to you, perh ...","Washington, DC",Cook II - Juniper Restaurant (Line Cook)
The Fairmont Hotel,10/7/2016,"Cook III Cafeteria (WDC00598) Cook III Cafeteria Every memorable dining experience at Fairmont Hotels and Resorts begins behind the scenes with our Culinary team's commitment to safe, efficient operations and exceptional cuisine. As Cook III, the care you devote to food and workspace preparation wil ...","Washington, DC",Cook III - Cafeteria
The Fairmont Hotel,10/7/2016,"of Responsibilities Reporting to the Executive Chef/Sous Chef, responsibilities and essential job functions include but are not limited to the following  Consistently offer professional, friendly and proactive guest service while supporting fellow Colleagues Prepare and service all food items for a  ...","Washington, DC",Cook 1 - Banquet
Marriott International,10/7/2016,"Dining Room Attendant (16001DLE) Marriott's Autograph Collection features a select group of upscale and luxury independent partner hotels, each with its own distinct personality, experience, style and features. Located in major cities and desirable destinations around the world, Autograph guests fav ...","Washington, DC",Dining Room Attendant
Marriott International,10/7/2016,"Two to three sentences describing the overall purpose of the job Responsible for advanced food production, food preparation and a la carte line cooking according to company standards. Job Responsibilities Maximum of ten responsibilities, in order of percentage of time spent on functions from longest ...","Oxon Hill, MD; Washington, DC; National Harbor, MD",ICE! Cook III (U)- Pienza (Seasonal)
So Others Might Eat/ SOME,10/7/2016,"Male Shower Room Attendant/Kitchen Aide Department Dining Room  Location Washington , DC   The Shower Room is open 7 days a week. The candidate will be responsible for working in the shower room as well as performing Kitchen Aid duties. The ideal client will enjoy working with the homeless. Function ...","Washington, DC",Male Shower Room Attendant/Kitchen Aide
Marriott International,10/7/2016,"Two to three sentences describing the overall purpose of the job Provide food and beverage service to banquet function guests. Ensure proper setup and breakdown of assigned banquets. Job Responsibilities Maximum of ten responsibilities, in order of percentage of time spent on functions from longest  ...","Oxon Hill, MD; Washington, DC; National Harbor, MD",On Call Bartender-Banquets (U)
Marriott International,10/7/2016,"Prepare drink orders for guests according to specified recipes using measuring systems. Issue, open, and serve wine/champagne bottles. Attend to tables in the dining area. Set up and maintain cleanliness and condition of bar, bar unit, tables, and other tools. Prepare fresh garnishes for drinks. Sto ...","Hyattsville, MD",Bartender
Marriott International,10/7/2016,"The Bistro at Courtyard is a chic, fast casual concept restaurant offering an eclectic menu including a variety of refreshing to go options as well as full sit down fare including cocktails, wine, beer, and Starbucks coffee. Our Bistro Team Members master a wide variety of food & beverage functions, ...","Arlington, VA",Bistro Team Member-AM
Marriott International,10/7/2016,"The Bistro at Courtyard is a chic, fast casual concept restaurant offering an eclectic menu including a variety of refreshing to go options as well as full sit down fare including cocktails, wine, beer, and Starbucks coffee. Our Bistro Team Members master a wide variety of food & beverage functions, ...","Alexandria, VA",Bistro Team Member-PM
Marriott International,10/7/2016,"Prepare breads and pastries, including preparing doughs and fillings, proofing, baking, and decorating as appropriate. Review Production sheet to understand variety of baked goods to be produced daily. Prepare and cook food according to recipes, quality and presentation standards, and food prep chec ...","McLean, VA",Pastry Cook I
St. Vincent de Paul of Baltimo...,10/7/2016,"Program Name  Sarah’s Hope Hannah More Status  PT Schedule,  Saturday and Sunday SUMMARY The Kitchen Coordinator assumes primary responsibility for the management and administration of the meal program including the day to day coordination of all facets of the program. This position is respons ...","Reisterstown, MD",Kitchen Coordinator (PT)
LifeBridge Health,10/7/2016,Description Position Type Part Time No Benes Shift Day Qualifications EDUCATION Completion of 10th Grade required. Minimum completion of 10th grade and at least 16 years of age required. EXPERIENCE Courses or experience in quality food preparation preferred. CERTIFICATIONS SERVE SAFE Certification p ...,"Westminster, MD",Food Service Aide - Part Time Days
Chipotle Mexican Grill,10/6/2016,"Restaurant Team Member Crew (2729 Silver Spring SH) (16021212) Description Fans have affectionately termed us ""the Southeast Asian version of Chipotle"", but we call it ShopHouse Southeast Asian Kitchen. The much anticipated restaurant that opened in September 2011 in Washington DC's DuPont Circle wa ...","Silver Spring, MD",Restaurant Team Member - Crew (2729 - Silver Spring - SH)
Chipotle Mexican Grill,10/6/2016,"Restaurant Team Member Crew (1621 ShopHouse Dupont) (16021205) Description Fans have affectionately termed us ""the Southeast Asian version of Chipotle"", but we call it ShopHouse Southeast Asian Kitchen. The much anticipated restaurant that opened in September 2011 in Washington DC's DuPont Circle wa ...","Washington, DC",Restaurant Team Member - Crew (1621 - ShopHouse Dupont)
Chipotle Mexican Grill,10/6/2016,"Restaurant Team Member Crew (2160 7th Street SH) (16021210) Description Fans have affectionately termed us ""the Southeast Asian version of Chipotle"", but we call it ShopHouse Southeast Asian Kitchen. The much anticipated restaurant that opened in September 2011 in Washington DC's DuPont Circle was q ...","Washington, DC",Restaurant Team Member - Crew (2160 - 7th Street - SH)
Chipotle Mexican Grill,10/6/2016,"Fans have affectionately termed us ""the Southeast Asian version of Chipotle"", but we call it ShopHouse Southeast Asian Kitchen. The much anticipated restaurant that opened in September 2011 in Washington DC's DuPont Circle was quickly described by the Washington Post as ""the fast track to success.""  ...","North Bethesda, MD",Restaurant Team Member - Crew (2121 - ShopHouse Rockville)
Chipotle Mexican Grill,10/6/2016,"Restaurant Team Member Crew (2159 Shophouse Columbia Mall) (16021208) Description Fans have affectionately termed us ""the Southeast Asian version of Chipotle"", but we call it ShopHouse Southeast Asian Kitchen. The much anticipated restaurant that opened in September 2011 in Washington DC's DuPont Ci ...","Columbia, MD",Restaurant Team Member - Crew (2159 - Shophouse Columbia Mal...
Chipotle Mexican Grill,10/6/2016,"Restaurant Team Member Crew (2299 ShopHouse Union Station) (16021204) Description Fans have affectionately termed us ""the Southeast Asian version of Chipotle"", but we call it ShopHouse Southeast Asian Kitchen. The much anticipated restaurant that opened in September 2011 in Washington DC's DuPont Ci ...","Washington, DC",Restaurant Team Member - Crew (2299 - ShopHouse Union Statio...
Chipotle Mexican Grill,10/6/2016,"Restaurant Team Member Crew (2064 Shophouse Bethesda) (16021206) Description Fans have affectionately termed us ""the Southeast Asian version of Chipotle"", but we call it ShopHouse Southeast Asian Kitchen. The much anticipated restaurant that opened in September 2011 in Washington DC's DuPont Circle  ...","Bethesda, MD",Restaurant Team Member - Crew (2064 - Shophouse Bethesda)
Chipotle Mexican Grill,10/6/2016,"Restaurant Team Member Crew (1948 Shophouse Georgetown) (16021209) Description Fans have affectionately termed us ""the Southeast Asian version of Chipotle"", but we call it ShopHouse Southeast Asian Kitchen. The much anticipated restaurant that opened in September 2011 in Washington DC's DuPont Circl ...","Washington, DC",Restaurant Team Member - Crew (1948 - Shophouse Georgetown)
Marriott International,10/6/2016,"AsstMgr Banquets (NE) (16001EO5) Marriott International portfolio of brands includes both JW Marriott and Marriott Hotels. Marriott Hotels , Marriott International's flagship brand with more than 500 global locations, is advancing the art of hosting so that our guests can travel brilliantly. As a ho ...","Baltimore, MD",AsstMgr-Banquets (NE)
HMSHost Corporation,10/6/2016,"The Cook is responsible for preparing cooked foods, and must be able to perform all station functions of Fry, Flat Top Griddle, Pantry, and cooking eggs; communicating ticket times and potential problems to the manager on duty and servers as necessary; providing the highest quality of service to cus ...","Dulles, VA",Cook - Pay Match & Pay for Experience!
Marriott International,10/6/2016,"Two to three sentences describing the overall purpose of the job Responsible for advanced food production, food preparation and a la carte line cooking according to company standards. Job Responsibilities Maximum of ten responsibilities, in order of percentage of time spent on functions from longest ...","Oxon Hill, MD; Washington, DC; National Harbor, MD",ICE! Cook III (U)- National Pastime (Seasonal)
Marriott International,10/6/2016,"Two to three sentences describing the overall purpose of the job Clean and sanitize all food service and preparation ware. Maintain cleanliness and sanitation in the dish rooms and kitchen areas. Job Responsibilities Maximum of ten responsibilities, in order of percentage of time spent on functions  ...","Oxon Hill, MD; Washington, DC; National Harbor, MD",ICE! Steward (U)- Old Hickory (Seasonal)
Marriott International,10/6/2016,"Two to three sentences describing the overall purpose of the job Transport food orders from the kitchen to the appropriate guest. Assist in serving food as required. Job Responsibilities Maximum of ten responsibilities, in order of percentage of time spent on functions from longest to shortest; do n ...","Oxon Hill, MD; Washington, DC; National Harbor, MD",ICE! Runner-Food(U)- National Pastime (Seasonal)
Marriott International,10/6/2016,"Two to three sentences describing the overall purpose of the job Serve food, beverages, and/or desserts without excluding performing a variety of food preparation and service duties including taking foodand beverage orders, preparing orders and serving prepared food and beverage items in an efficien ...","Oxon Hill, MD; Washington, DC; National Harbor, MD",ICE! Attd-Gourmet Coffee-Barista(U)- (Seasonal)
